    A1,       A2,      A3,       B1,       B2,       B3,       Γ1,       Γ2,       Γ3 
Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,Δ,Τ,Τ,Π,Π,
Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική,Φυσική
Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία
Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία,Ιστορία
Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή
Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή,Φυσική Αγωγή
Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία
Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία,Γεωλογία-Γεωγραφία
